Id  , Concurso                                                          , Data      , bola1, bola2, bola3, bola4, bola5, bola6, bola7, bola8, bola9, bola10, bola11, bola12, bola13, bola14, bola15, bola16, bola17, bola18, bola19, bola20, bola21, bola22, bola23, bola24, bola25
150 , "155                                                             ", 11/09/2006, A    , R    , A    , N    , R    , A    , A    , N    , A    , R     , R     , A     , A     , R     , R     , R     , A     , R     , N     , N     , N     , N     , A     , R     , A
151 , "156                                                             ", 18/09/2006, N    , A    , N    , R    , A    , A    , A    , R    , N    , R     , R     , N     , N     , R     , R     , A     , A     , A     , R     , R     , A     , R     , N     , A     , A
152 , "157                                                             ", 25/09/2006, R    , N    , A    , R    , A    , N    , N    , A    , R    , R     , A     , R     , A     , R     , A     , N     , A     , N     , R     , A     , N     , A     , A     , N     , N
153 , "158                                                             ", 02/10/2006, A    , R    , A    , A    , A    , A    , R    , N    , R    , R     , N     , R     , A     , A     , N     , R     , N     , R     , R     , N     , A     , N     , N     , A     , A
154 , "159                                                             ", 09/10/2006, N    , R    , N    , N    , N    , N    , A    , R    , A    , R     , R     , A     , A     , N     , R     , A     , R     , A     , A     , R     , A     , A     , A     , N     , N
155 , "160                                                             ", 16/10/2006, R    , A    , R    , R    , A    , A    , A    , A    , N    , R     , R     , N     , A     , R     , R     , N     , R     , A     , N     , R     , N     , A     , A     , R     , A
156 , "161                                                             ", 19/10/2006, R    , A    , A    , A    , N    , A    , A    , N    , A    , A     , R     , A     , N     , A     , R     , R     , R     , N     , A     , R     , R     , N     , N     , R     , N
157 , "162                                                             ", 23/10/2006, R    , N    , N    , N    , R    , N    , A    , R    , A    , A     , R     , N     , R     , A     , A     , R     , A     , R     , A     , R     , A     , A     , R     , R     , A
158 , "163                                                             ", 26/10/2006, R    , R    , R    , A    , R    , R    , N    , A    , N    , A     , A     , A     , R     , N     , N     , A     , A     , A     , A     , R     , N     , A     , R     , R     , N
159 , "164                                                             ", 30/10/2006, R    , R    , R    , A    , R    , R    , A    , N    , A    , N     , N     , A     , A     , R     , R     , A     , A     , N     , A     , A     , R     , N     , R     , R     , A
160 , "165                                                             ", 03/11/2006, R    , R    , A    , N    , A    , R    , A    , R    , N    , A     , A     , N     , N     , R     , R     , A     , N     , R     , N     , A     , A     , R     , A     , A     , N
161 , "166                                                             ", 06/11/2006, A    , R    , N    , R    , A    , A    , A    , R    , R    , N     , A     , A     , R     , R     , R     , A     , A     , R     , R     , N     , N     , R     , N     , A     , A
162 , "167                                                             ", 09/11/2006, N    , R    , R    , A    , A    , N    , A    , R    , R    , R     , A     , A     , R     , R     , A     , N     , A     , R     , R     , A     , A     , R     , R     , N     , A
163 , "169                                                             ", 16/11/2006, R    , A    , A    , N    , N    , R    , N    , R    , R    , R     , N     , N     , A     , A     , N     , R     , A     , A     , A     , N     , N     , A     , A     , R     , A
164 , "170                                                             ", 21/11/2006, R    , A    , N    , R    , R    , R    , R    , R    , A    , R     , A     , A     , N     , A     , A     , R     , A     , N     , A     , R     , A     , N     , N     , A     , N
165 , "171                                                             ", 23/11/2006, R    , A    , R    , R    , A    , A    , A    , A    , A    , R     , N     , N     , R     , A     , N     , R     , N     , A     , A     , A     , N     , R     , R     , N     , R
166 , "172                                                             ", 27/11/2006, R    , N    , A    , R    , A    , N    , N    , A    , N    , R     , R     , R     , R     , A     , A     , A     , A     , N     , A     , N     , R     , R     , A     , A     , R
